Folder Name,Video Recording Link
QOTD 100,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21s74d528edee744e53a91a0cec70926d9d&parId=46AC280CA35DB7D4%21s92d557dcb2824d30acdc47a60b1af74a&o=OneUp
,
Fireside chats,
260208_Fireside chat on Art by KP,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21sced59e8555094a4eaf1b4d2ae68e032d&parId=46AC280CA35DB7D4%21sd2b449b82c8146b4b9ec04b19e78f0ff&o=OneUp
260523_Fireside_Shvetal_Literature,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21s7356ac65edcc4415980e88e772fc4013&parId=46AC280CA35DB7D4%21sb5f28da7cf6e4145a72b708330b873f9&o=OneUp
260621_Fireside Shreya,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21s48feeecdb4fe4ee58dbd3218ab4a0e7a&parId=46AC280CA35DB7D4%21s6e5bf6f538d94cdc9f816668e889b146&o=OneUp
260628_Fireside_Religion and ATheism,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&id=46AC280CA35DB7D4%21s4093f30bc81a4c429579978f2c6752b2&cid=46AC280CA35DB7D4&sb=name&sd=1
,
Breaking bad quiz,
260525_Breaking Bad_The Rule,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21sfe32e6007ed84f0e8031055222100e17&parId=46AC280CA35DB7D4%21s50f2d9180c7544349ec63e437b1b93e6&o=OneUp
260601_BB SF2,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21s6147124f50df4e8b9c7e8f3bf5e52534&parId=46AC280CA35DB7D4%21s04f0f988c52f493e8d79a0ad92a280d6&o=OneUp
,
Old School Quiz,
Part 1,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21scc1685f5e8e94b77a5e862c9cdc9b1cc&parId=46AC280CA35DB7D4%21sa063ae9e1c3a43918f12b0e51c3802cb&o=OneUp
Part 2,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21sb36f0c2799ab4cffacc30593b50def43&parId=46AC280CA35DB7D4%21s3210fd745811493c8b612d322d0c0011&o=OneUp
,
Babuji Zara Dheere Chalo Bijal-is QM,
QF1,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21sc07fe7e2082245fc91caf34f3fef8f85&parId=46AC280CA35DB7D4%21s53f26786723346a8bd5d25bfa1a1ad5f&o=OneUp
QF2,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21sf3b6e16ea1714e52b720f5b9b0391732&parId=46AC280CA35DB7D4%21s07f65b613ec4408da7e22029c6bbaf27&o=OneUp
QF3,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21se300ab84a5264789b4d26fd6b575bfc3&parId=46AC280CA35DB7D4%21s0a08c773aa2d4b68934cd1eb33204c5b&o=OneUp
,
Gauntlet,
260110_Gauntlet 3,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21s72c0e5f3202a40ac84da067c382a6779&parId=46AC280CA35DB7D4%21s5fbe201352dd4e869c6885bc19758252&o=OneUp
260201_Gauntlet 4_Aditi,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21s51b9f78db8104aa4aad7b98d2fa4c5b0&parId=46AC280CA35DB7D4%21s818aa07bcd6b40ca96fd88df8a63eb5b&o=OneUp
260307_Gauntlet 6_Vats,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21s0c32116bc1644b2d886138561bce27d5&parId=46AC280CA35DB7D4%21scdf172ad2d984b4ca2144df7fe0e40d2&o=OneUp
260316_Gauntlet 7.0_QM Khandrogba,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21s2f1cd350834541bfae7122c37f32ccb2&parId=46AC280CA35DB7D4%21s05bcc34f2de04674b86ac9e82cf7e8d5&o=OneUp
260328_Gauntlet 8_QM KP,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21s94cb9d9db9a941b0ac499e0034d33ed3&parId=46AC280CA35DB7D4%21s00c51d162a584975b13bb2a63dc42dd8&o=OneUp
260404_Gauntlet 9_ Pavan,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21sd6d9c4f4076c4e83bb8202340afb2845&parId=46AC280CA35DB7D4%21sff8232f301324a4fbac5bf4735c42c5c&o=OneUp
260412_Gauntlet10_Chinmay,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21se4b4061719234861900a90cb0f5bc3bf&parId=46AC280CA35DB7D4%21sd7efb04a931d4e42ba64b98b3f1dc246&o=OneUp
260502_Gauntlet11_Better Call Sal,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21sa4e943e894e64ab7805c13773016d609&parId=46AC280CA35DB7D4%21s1005dac5719349a095717ea9d8cacdd4&o=OneUp
260509_Gauntlet 12_Vats the Good Word,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21s114a7de0b5664f118b7310874140e2b0&parId=46AC280CA35DB7D4%21s6257913696e6436481eed7989d328139&o=OneUp
260517_Gauntlet 13_Pavan,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21s19987d42a72a4fbcaecfeefd726ebfd7&parId=46AC280CA35DB7D4%21sdc34eabb8b6f4fa6bc492b10cc7e9927&o=OneUp
260523_Gauntlet 14_LZA,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21s577fafc575aa4a7384093bbbff7c24f2&parId=46AC280CA35DB7D4%21sc753517302e8400a98ea9bef496431ac&o=OneUp
260530_Gauntlet 15_QM Khandoba,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21s5fdb66919d0d40cfa3448d7271067a03&parId=46AC280CA35DB7D4%21s938368e76b0d4e59ba698588a5512184&o=OneUp
260605_Gauntlet 16_QM Bijal,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21sa9699009029440839b892183a41c17d1&parId=46AC280CA35DB7D4%21se4d1729abe9445dc860f8b1ef0f7f074&o=OneUp
260613_Gauntlet 17_QM Nikunj,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21s9fa564b0294b46d7b7163dde05bec006&parId=46AC280CA35DB7D4%21sbea21bbf484242478b0b1ac4e55f810c&o=OneUp
260620_Gauntlet 18_QM Prajwal,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&id=46AC280CA35DB7D4%21sf78d4bec73da4dfbaa4ed148c8e53cf0&cid=46AC280CA35DB7D4&sb=name&sd=1
260626_Gauntlet 19_Gotham's Hero,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21saa6baa10a517495fbc985448f8fb9a07&parId=46AC280CA35DB7D4%21sd6ebf47024014fb9ae9299eaa3849ccf&o=OneUp
260711_Gauntlet 20_QM Chinmay,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21sb0039542e100454bbb8c826f48421b5d&parId=46AC280CA35DB7D4%21s82f60f02e0824e3a93dd1923a0b30db6&o=OneUp
260719_Gauntlet 21_It is Vat itteezz,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21sd620c3671cc34f0ebed4c13b407fae31&parId=46AC280CA35DB7D4%21s6d8f464aaf7d4071b7d2d13b80b34aca&o=OneUp
